ID,Listing Confirmation Method,Deposit Amount,Monthly Rent,Exclusive Area,Unit Floor,Total Floors,Direction,Number of Rooms,Number of Bathrooms,Parking Availability,Total Parking Spaces,Maintenance Fee,Real Estate Agency,Brokerage Platform,Listing Year,Listing Month,Listing Day,Listing Weekday,Days Since Listed,False Listing
TRAIN_0000,On-site Confirmation,402500000,470000,,,15,West,1,1,Available,40,96,t93Nt6I2I0,Platform B,2024,10,9,Wednesday,276,Real Listing
TRAIN_0001,On-site Confirmation,170500000,200000,,3,4,Southeast,2,1,Not Available,,0,q39iV5J4E6,Platform D,2024,12,26,Thursday,198,Real Listing
TRAIN_0002,Phone Confirmation,114000000,380000,,2,3,East,1,1,Not Available,,0,b03oE4G3F6,Platform A,2024,11,28,Thursday,226,Real Listing
TRAIN_0003,On-site Confirmation,163500000,30000,36.3,3,9,Southeast,2,1,Available,13,10,G52Iz8V2B9,Platform A,2024,11,26,Tuesday,228,Real Listing
TRAIN_0004,On-site Confirmation,346000000,530000,,3,3,East,2,1,Not Available,,0,N45gM0M7R0,Platform B,2024,6,25,Tuesday,382,Fake Listing
TRAIN_0005,Phone Confirmation,153000000,530000,29.5,,3,South,2,1,Available,1,0,Q42YF3Y0I2,Platform A,2024,9,12,Thursday,303,Real Listing
TRAIN_0006,On-site Confirmation,348500000,400000,,2,3,북동향,1,1,Not Available,,0,A72Mx9C8U2,Platform D,2024,8,23,Friday,323,Real Listing
TRAIN_0007,On-site Confirmation,139500000,590000,,2,3,East,2,1,Not Available,,0,d22DX4Y4P8,Platform B,2025,3,3,Monday,131,Real Listing
TRAIN_0008,On-site Confirmation,120500000,440000,31.55,1,2,North,2,2,Available,18,3,G52Iz8V2B9,Platform B,2024,5,23,Thursday,415,Real Listing
TRAIN_0009,On-site Confirmation,79500000,260000,39.66,2,3,Southeast,2,1,Not Available,2,0,M90Ph8W9V3,Platform B,2024,11,30,Saturday,224,Real Listing
TRAIN_0010,On-site Confirmation,187500000,390000,23.69,1,15,South,1,1,Not Available,15,5,G52Iz8V2B9,Platform A,2023,12,16,Saturday,574,Real Listing
TRAIN_0011,서류확인,91500000,750000,31.32,9,15,북동향,2,2,Available,44,8,G52Iz8V2B9,Platform B,2024,3,25,Monday,474,Real Listing
TRAIN_0012,Phone Confirmation,348500000,180000,23.14,2,5,East,1,1,Not Available,,0,J30yG7F1O0,Platform C,2024,7,15,Monday,362,Fake Listing
TRAIN_0013,On-site Confirmation,27000000,320000,36.57,14,18,South,1,1,Not Available,46,3,G52Iz8V2B9,Platform A,2025,2,18,Tuesday,144,Real Listing
TRAIN_0014,Phone Confirmation,409000000,110000,,3,10,South,1,1,Available,5,10,H90uE4C0W5,Platform A,2024,11,2,Saturday,252,Real Listing
TRAIN_0015,On-site Confirmation,8500000,590000,30.56,2,9,West,1,1,Not Available,45,0,G52Iz8V2B9,Platform C,2023,10,18,Wednesday,633,Real Listing
TRAIN_0016,On-site Confirmation,15000000,10000,22.05,1,8,South,1,1,Available,27,1,G52Iz8V2B9,Platform C,2023,11,5,Sunday,615,Real Listing
TRAIN_0017,On-site Confirmation,385500000,750000,,3,6,South,1,1,Available,7,8,Y04yg0T7Z5,Platform B,2024,10,16,Wednesday,269,Real Listing
TRAIN_0018,On-site Confirmation,123000000,600000,,4,4,남서향,1,1,Available,1,6,N00fb8Z9A4,Platform D,2024,9,15,Sunday,300,Real Listing
TRAIN_0019,On-site Confirmation,146500000,240000,,2,3,South,1,1,Not Available,,0,G95MY2L8J8,F플랫폼,2024,11,4,Monday,250,Real Listing
TRAIN_0020,Phone Confirmation,12500000,50000,29.88,,10,남서향,2,1,Available,34,14,r82ax9M3U3,Platform B,2024,10,29,Tuesday,256,Real Listing
TRAIN_0021,Phone Confirmation,375500000,350000,19.07,2,5,West,1,1,Not Available,,8,a15xR3G4V0,Platform A,2024,7,28,Sunday,349,Real Listing
TRAIN_0022,On-site Confirmation,24500000,740000,29.5,7,8,남서향,1,1,Available,1,4,W88DA3W2Q3,Platform A,2024,5,12,Sunday,426,Fake Listing
TRAIN_0023,On-site Confirmation,186000000,450000,24.49,4,14,South,2,2,Available,16,4,G52Iz8V2B9,G플랫폼,2024,10,23,Wednesday,262,Real Listing
TRAIN_0024,서류확인,107500000,240000,27.16,9,10,북서향,2,1,Available,10,4,S69fV9Z3J7,Platform C,2024,10,15,Tuesday,270,Real Listing
TRAIN_0025,On-site Confirmation,397000000,450000,,10,11,East,2,1,Available,1,8,o80Xg3Q1Q7,Platform A,2024,11,19,Tuesday,235,Real Listing
TRAIN_0026,On-site Confirmation,361000000,350000,17.5,6,6,남서향,1,1,Available,8,8,K86UF7I0P3,Platform C,2024,11,18,Monday,236,Real Listing
TRAIN_0027,Phone Confirmation,13000000,550000,,2,3,Southeast,2,1,Not Available,,0,Q27Pd1N0R1,Platform E,2024,10,2,Wednesday,283,Real Listing
TRAIN_0028,On-site Confirmation,354500000,750000,19.83,,5,South,1,1,Not Available,,0,Q42YF3Y0I2,Platform A,2025,1,2,Thursday,191,Real Listing
TRAIN_0029,On-site Confirmation,402000000,640000,37.85,5,6,South,2,2,Not Available,48,3,G52Iz8V2B9,Platform A,2024,4,14,Sunday,454,Real Listing
TRAIN_0030,On-site Confirmation,102000000,400000,29.48,6,8,북서향,2,2,Not Available,43,6,G52Iz8V2B9,Platform B,2023,11,8,Wednesday,612,Real Listing
TRAIN_0031,On-site Confirmation,132000000,540000,,2,3,West,1,1,Not Available,,8,Z18up3D1C3,Platform A,2024,7,10,Wednesday,367,Fake Listing
TRAIN_0032,On-site Confirmation,195000000,560000,39.66,3,6,South,2,1,Available,5,0,l47ci2X2G0,Platform A,2024,9,30,Monday,285,Real Listing
TRAIN_0033,Phone Confirmation,160000000,80000,36.3,2,4,East,2,1,Not Available,1,0,A72Mx9C8U2,Platform A,2025,1,20,Monday,173,Real Listing
TRAIN_0034,On-site Confirmation,342000000,610000,41.42,8,21,South,1,1,Not Available,38,7,G52Iz8V2B9,Platform B,2024,8,3,Saturday,343,Real Listing
TRAIN_0035,Phone Confirmation,129500000,430000,36.6,2,5,South,2,1,Available,3,18,S30er7F3P4,Platform E,2024,9,17,Tuesday,298,Real Listing
TRAIN_0036,On-site Confirmation,94000000,270000,,4,9,남서향,1,1,Not Available,,1,D47oH9N4M3,Platform B,2024,7,5,Friday,372,Real Listing
TRAIN_0037,On-site Confirmation,25000000,520000,,,,East,,,Not Available,,4,k74XT0T1B8,Platform D,2024,10,6,Sunday,279,Real Listing
TRAIN_0038,서류확인,32500000,630000,,5,11,East,1,1,Available,21,19,S69fV9Z3J7,Platform C,2024,11,30,Saturday,224,Real Listing
TRAIN_0039,On-site Confirmation,171000000,480000,34.48,2,3,North,2,1,Not Available,,7,S12iP7V0Q9,Platform A,2024,2,2,Friday,526,Real Listing
TRAIN_0040,On-site Confirmation,361000000,440000,17.5,3,9,East,1,1,Available,43,7,G52Iz8V2B9,Platform C,2023,11,26,Sunday,594,Real Listing
